timestamp,sequence,EEG-imp-ch1,EEG-imp-ch2,EEG-imp-ch3,EEG-imp-ch4,EEG-imp-ch5,EEG-imp-ch6,EEG-imp-ch7,EEG-imp-ch8,EEG-imp-ch9,EEG-imp-ch10,EEG-imp-ch11,EEG-imp-ch12,EEG-imp-ch13,EEG-imp-ch14,EEG-imp-ch15,EEG-imp-ch16
16641957823,444,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16641990127,445,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16642061685,446,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16642071475,447,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16642096699,448,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16642116474,449,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16642147769,450,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16642187514,451,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16642222721,452,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16642236247,453,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16642271571,454,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16642335187,455,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16642350047,456,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16642365131,457,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16642428985,458,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16642448391,459,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16642521574,460,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16642536511,461,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16642545011,462,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16642550299,463,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16642600003,464,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16642612769,465,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16642657473,466,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16642687788,467,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16642715146,468,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16642739142,469,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16642802366,470,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16642824288,471,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16642836278,472,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16642866135,473,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16642914278,474,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16642932809,475,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16642965159,476,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16642990152,477,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16643021385,478,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16643072750,479,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16643087250,480,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16643175259,481,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16643190156,482,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16643212485,483,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16643226663,484,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16643239167,485,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16643274137,486,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16643326562,487,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16643340144,488,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16643363143,489,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16643409073,490,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16643427614,491,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16643462769,492,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16643525353,493,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16643537421,494,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16643548731,495,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16643597790,496,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16643624041,497,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16643661454,498,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16643683823,499,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16643715144,500,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16643764013,501,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16643773985,502,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16643822826,503,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16643840143,504,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16643907763,505,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16643914811,506,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16643957876,507,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16643964031,508,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16643995137,509,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16644021661,510,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16644071615,511,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16644115345,512,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16644128686,513,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16644146230,514,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16644195409,515,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16644207515,516,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16644270265,517,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16644286527,518,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16644310375,519,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16644339344,520,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16644402404,521,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16644432794,522,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16644446480,523,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16644471618,524,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16644486214,525,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16644514883,526,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16644557423,527,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16644626266,528,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16644645176,529,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16644652403,530,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16644690065,531,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16644710253,532,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16644745226,533,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16644770245,534,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16644815078,535,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16644861616,536,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16644875267,537,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16644894975,538,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16644940175,539,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
16645007542,540,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
